"pop2023","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
143776,152846,-0.02019,"Jackson",111.086,32.3158,-90.2128,"jackson-ms","MS",-90.2128,32.3158,1,1294
70663,72837,-0.01004,"Gulfport",55.629,30.4195,-89.069,"gulfport-ms","MS",-89.069,30.4195,2,1270
56763,54774,0.01196,"Southaven",41.325,34.951,-89.9777,"southaven-ms","MS",-89.9777,34.951,3,1374
48814,49456,-0.00434,"Biloxi",42.987,30.4267,-88.9358,"biloxi-ms","MS",-88.9358,30.4267,4,1136
46657,47275,-0.00437,"Hattiesburg",53.432,31.3073,-89.3174,"hattiesburg-ms","MS",-89.3174,31.3073,5,873
41030,39904,0.00932,"Olive Branch",37.206,34.9558,-89.8412,"olive-branch-ms","MS",-89.8412,34.9558,6,1103
37402,37800,-0.00352,"Tupelo",64.383,34.2706,-88.7325,"tupelo-ms","MS",-88.7325,34.2706,7,581
33622,34832,-0.01173,"Meridian",53.741,32.3878,-88.6903,"meridian-ms","MS",-88.6903,32.3878,8,626
27712,27034,0.0083,"Pearl",25.466,32.2725,-90.0918,"pearl-ms","MS",-90.0918,32.2725,9,1088
27629,27764,-0.00163,"Madison",25.242,32.4739,-90.1309,"madison-ms","MS",-90.1309,32.4739,10,1095
27531,25896,0.02061,"Oxford",26.617,34.3513,-89.537,"oxford-ms","MS",-89.537,34.3513,11,1034
27494,29441,-0.02254,"Greenville",26.895,33.3835,-91.0523,"greenville-ms","MS",-91.0523,33.3835,12,1022
26721,26745,-0.0003,"Horn Lake",16.047,34.9521,-90.0492,"horn-lake-ms","MS",-90.0492,34.9521,13,1665
26558,27909,-0.01641,"Clinton",41.872,32.3544,-90.3419,"clinton-ms","MS",-90.3419,32.3544,14,634
25901,25113,0.01034,"Brandon",25.662,32.2781,-89.9907,"brandon-ms","MS",-89.9907,32.2781,15,1009
24783,24594,0.00255,"Starkville",25.514,33.4588,-88.8327,"starkville-ms","MS",-88.8327,33.4588,16,971
23735,24221,-0.00674,"Ridgeland",21.383,32.4198,-90.1485,"ridgeland-ms","MS",-90.1485,32.4198,17,1110
22610,23682,-0.01533,"Columbus",25.049,33.5082,-88.4071,"columbus-ms","MS",-88.4071,33.5082,18,903
21623,21963,-0.0052,"Pascagoula",15.376,30.3601,-88.5563,"pascagoula-ms","MS",-88.5563,30.3601,19,1406
19871,21440,-0.02502,"Vicksburg",32.981,32.322,-90.8816,"vicksburg-ms","MS",-90.8816,32.322,20,602
18988,19000,-0.00021,"Gautier",30.257,30.4062,-88.6593,"gautier-ms","MS",-88.6593,30.4062,21,628
18335,18413,-0.00142,"Ocean Springs",11.55,30.4027,-88.7887,"ocean-springs-ms","MS",-88.7887,30.4027,22,1587
17904,17072,0.016,"Hernando",25.304,34.8496,-89.9924,"hernando-ms","MS",-89.9924,34.8496,23,708
17033,16768,0.00525,"Long Beach",10.257,30.3551,-89.1744,"long-beach-ms","MS",-89.1744,30.3551,24,1661
17026,17146,-0.00234,"Laurel",16.236,31.6951,-89.145,"laurel-ms","MS",-89.145,31.6951,25,1049
14409,12686,0.04337,"D'Iberville",10.575,30.5187,-88.9284,"d'iberville-ms","MS",-88.9284,30.5187,26,1363
14052,14550,-0.01154,"Corinth",30.163,34.9484,-88.5136,"corinth-ms","MS",-88.5136,34.9484,27,466
13759,14747,-0.02287,"Clarksdale",13.887,34.1975,-90.5731,"clarksdale-ms","MS",-90.5731,34.1975,28,991
13355,14391,-0.02461,"Greenwood",12.335,33.5125,-90.199,"greenwood-ms","MS",-90.199,33.5125,29,1083
13098,14202,-0.02661,"Natchez",15.815,31.5424,-91.3857,"natchez-ms","MS",-91.3857,31.5424,30,828
12169,12625,-0.01218,"Grenada",30.007,33.7814,-89.8115,"grenada-ms","MS",-89.8115,33.7814,31,406
12144,12615,-0.0126,"Byram",18.364,32.1903,-90.286,"byram-ms","MS",-90.286,32.1903,32,661
11990,11724,0.00748,"Brookhaven",21.642,31.5806,-90.4434,"brookhaven-ms","MS",-90.4434,31.5806,33,554
11949,12353,-0.01101,"McComb",11.78,31.2445,-90.4716,"mccomb-ms","MS",-90.4716,31.2445,34,1014
11885,12117,-0.00644,"Moss Point",24.124,30.4259,-88.5327,"moss-point-ms","MS",-88.5327,30.4259,35,493
11656,11430,0.00656,"Petal",16.771,31.3482,-89.2351,"petal-ms","MS",-89.2351,31.3482,36,695
11637,11858,-0.00623,"Picayune",18.038,30.5308,-89.6706,"picayune-ms","MS",-89.6706,30.5308,37,645
11207,9459,0.05816,"Bay St. Louis",14.692,30.3234,-89.3588,"bay-st-louis-ms","MS",-89.3588,30.3234,38,763
10665,10230,0.01398,"Flowood",28.787,32.3361,-90.0729,"flowood-ms","MS",-90.0729,32.3361,39,370
10487,10790,-0.00945,"Canton",21.287,32.5984,-90.0322,"canton-ms","MS",-90.0322,32.5984,40,493
10469,11136,-0.0204,"Cleveland",7.577,33.744,-90.7285,"cleveland-ms","MS",-90.7285,33.744,41,1382
