Name,Address,Latitude,Longitude,Capacity,County
Stewpot,"69 E Franklin Street, Natchez, MS",31.5561055,-91.3899277,10000,Adams
Rose Hill Baptist Church,"607 Madison Street, Natchez, MS",31.562803,-91.3972436,500,Adams
Pilgrim Baptist Church,"117 Pilgrim Road, Natchez, MS",31.5674024,-91.3721769,500,Adams
First Assembly of God,"150 Liberty Street, Natchez, MS",31.5528907,-91.3820851,10000,Adams
61 South Church of Christ,"6 Beau Pre Road, Natchez, MS",31.482406,-91.3687829,500,Adams
Catholic Charities,"212 N Shields Lane, Natchez, MS",31.54498,-91.378225,10000,Adams
King’s Kabinet Food Pantry,"150 Liberty Road, Natchez, MS 39120",31.5528907,-91.3820851,10000,Adams
AMEN Food Pantry,"104 W. Linden Street, Corinth, MS 38834",34.9384881,-88.5251436,50000,Alcorn
Helping Hands Ministries,"14117 Attala Road 4202, Kosciusko, MS",33.0576295,-89.5875764,10000,Attala
Church of God In Christ,"302 Cleveland Steet, Shaw, MS",33.6073175,-90.7673381,500,Bolivar
Helping Hands of Cleveland,"404 N Martin Luther King Drive, Cleveland, MS",33.7503503,-90.7101557,10000,Bolivar
St. Gabriel Mercy Center Food Pantry,"503 W. Martin Luther King Drive, Mound Bayou, MS 38762",33.8795422,-90.7336694,50000,Bolivar
St Luke the Evangelist,"209 W. Calhoun St, Bruce, MS",33.9907358,-89.3508347,10000,Calhoun
Mission Okolona Food Pantry,"111 Church Street, Okolona, MS 38860",34.0035901,-88.7557697,10000,Chickasaw
Potter’s House Family Services,"678 N Jefferson Street, Houston, MS",33.9058222,-88.9983242,10000,Chickasaw
Christian Fellowship Church,"123 County Road 62, Houston, MS – 38851",33.8696676,-89.0337257,10000,Chickasaw
City of Port Gibson Emergency Shelter Team LLC,"Port Gibson, MS, Port Gibson Address",31.9532538,-90.988384,10000,Claiborne
We Care Food Pantry,"500 N. Jackson Ave, Quitman, MS 39355",32.0529825,-88.7239479,50000,Clarke
Living Manna Church,"941 S Eshman Ave, West Point, MS – 39773",33.5934748,-88.6335391,500,Clay
St James Temple Church of God In Christ Mission,"397 Sunflower Ave, Clarksdale, MS – 38614",34.1977513,-90.5743104,50000,Coahoma
Copiah County Health Department,"640 Georgetown Street, Hazlehurst, MS",31.8735688,-90.3813283,10000,Copiah
Bethesda United Methodist Church,"4089 Bethesda Road, Crystal Springs, MS",31.9037181,-90.3295889,500,Copiah
HeartLand Hands Inc. Food Pantry,"385 Stateline Road West, Southaven, MS 38671",34.9897585,-89.9954843,50000,DeSoto
Sacred Heart Southern Missions – Food Pantry,"6050 Hwy 161, Walls, MS 38680",34.9488218,-90.1526683,50000,DeSoto
Samaritans,"2600 Goodman Rd W, Horn Lake, MS – 38637",34.9630062,-90.0393191,10000,DeSoto
Olive Branch Food Ministry,"10947 Highway 178, Olive Branch, MS – 38654",34.9327413,-89.7963047,10000,DeSoto
Hernando / Nesbit Interfaith Council on Poverty,"499 East Commerce Street, Hernando, MS 38632",34.8231961,-89.9809481,10000,DeSoto
"American Red Cross, Mid-south Chapter in Southhaven","1400 Central Avenue, Southaven, Mississippi 38672",34.9341033,-89.9299949,10000,DeSoto
Interfaith Council on Poverty Food Pantry,"1455 McIngvale Road, Hernando, MS 38632",34.8392052,-89.9733062,50000,DeSoto
Edwards Street Fellowship Center Food Pantry,"1919 Edwards Street, Hattiesburg, MS",31.2936398,-89.2878598,50000,Forrest
Food for Life Pantry,"103 Broad Street, Suite B, Hattiesburg, MS 39401",31.3254326,-89.3037518,50000,Forrest
Maggie West,"301 E 2nd Street, Hattiesburg, MS 39475",31.3295983,-89.2892508,10000,Forrest
Life Support Cares,"301 Humble Ave, Hattiesburg, MS – 39401",31.3166863,-89.3067688,10000,Forrest
"One Way International Ministries, Inc. Family Food Pantry","200 North 40th Avenue, Hattiesburg, MS – 39401",31.3270051,-89.3481494,50000,Lamar
Fayette Helping Hands 1,"1 Main Street, Roxie, MS",31.5046128,-91.0689929,10000,Franklin
The Salvation Army MS Gulf Coast – George County – Food Pantry,"52 Virginia Street, Suite A, Lucedale, MS 39452",30.9241675,-88.5847627,50000,George
United Hearts Community Action Agency,"228 Gyther Fairley Road, Lucedale, Mississippi 39452",30.8685082,-88.8262631,50000,George
Grenada Food Pantry,"19 Green St, Grenada, MS 38901",33.7861704,-89.8025355,50000,Grenada
Grenada Soup Kitchen,"42 Church Street, Grenada, MS 38901",33.7849348,-89.8009357,10000,Grenada
Life Changers,"772 Maple Ln, Grenada, MS – 38901",33.7660521,-89.7959372,10000,Grenada
Hancock County Food Pantry,"9972 Hwy 603, Bay Saint Louis, MS 39520",30.3134518,-89.3915215,50000,Hancock
Gulf Coast Community Ministries 1,"3914 15th Street, Gulfport, MS 39501",30.3694778,-89.1096943,50000,Harrison
The Salvation Army MS Gulf Coast – Food Pantry,"2019 22nd Street, Gulfport, MS 39501",30.3763087,-89.0871019,50000,Harrison
Back Bay Mission – Food Pantry,"1012 Division St, Biloxi, MS 39530",30.4037369,-88.8987519,50000,Harrison
