City,County,FI Population 2021,2021 Cost Per Meal,Latitude,Longitude,CityWeight,2025 Cost Per Meal,FI Population 2025
Natchez,Adams,5530,3.35,31.5424,-91.3857,1,3.79,3715
Corinth,Alcorn,5227,3.41,34.9484,-88.5136,0.834911344,3.86,5127
Farmington,Alcorn,739,3.41,34.9226,-88.4461,0.117920468,3.86,724
Glen,Alcorn,137,3.41,34.8582,-88.4176,0.021747863,3.86,134
Rienzi,Alcorn,101,3.41,34.7633,-88.534,0.016067022,3.86,99
Kossuth,Alcorn,59,3.41,34.8694,-88.6433,0.009353302,3.86,57
Gloster,Amite,1440,3.33,31.1951,-91.0177,0.519744483,3.77,1422
Liberty,Amite,953,3.33,31.1619,-90.7983,0.343786295,3.77,941
Crosby,Amite,379,3.33,31.2744,-91.0615,0.136469222,3.77,373
Kosciusko,Attala,3062,3.14,33.0582,-89.5894,0.924863032,3.55,2759
Ethel,Attala,148,3.14,33.1221,-89.465,0.044482129,3.55,133
Sallis,Attala,57,3.14,33.0216,-89.7647,0.016957996,3.55,51
McCool,Attala,46,3.14,33.1989,-89.3407,0.013696843,3.55,41
Ashland,Benton,455,3.24,34.8341,-89.1777,0.388342165,3.67,377
Hickory Flat,Benton,444,3.24,34.6159,-89.1914,0.379258138,3.67,368
Snow Lake Shores,Benton,272,3.24,34.8213,-89.2381,0.232399697,3.67,225
Cleveland,Bolivar,3274,3.54,33.744,-90.7285,0.531449843,4.01,2417
Shelby,Bolivar,593,3.54,33.9505,-90.7651,0.096258471,4.01,438
Rosedale,Bolivar,467,3.54,33.8602,-91.0435,0.075689606,4.01,344
Mound Bayou,Bolivar,452,3.54,33.8807,-90.7279,0.073255703,4.01,333
Shaw,Bolivar,430,3.54,33.6015,-90.772,0.069771881,4.01,317
Renova,Bolivar,201,3.54,33.7805,-90.7232,0.032547485,4.01,148
Boyle,Bolivar,157,3.54,33.7065,-90.7249,0.025388947,4.01,115
Merigold,Bolivar,112,3.54,33.8391,-90.7264,0.018087239,4.01,82
Benoit,Bolivar,108,3.54,33.6516,-91.0087,0.017419109,4.01,79
Gunnison,Bolivar,88,3.54,33.9431,-90.9466,0.014126181,4.01,64
Duncan,Bolivar,81,3.54,34.0418,-90.7459,0.013076262,4.01,59
Beulah,Bolivar,72,3.54,33.7905,-90.9801,0.011549108,4.01,53
Pace,Bolivar,54,3.54,33.7922,-90.8591,0.008685692,4.01,40
Winstonville,Bolivar,45,3.54,33.9123,-90.7529,0.007253985,4.01,33
Alligator,Bolivar,34,3.54,34.0898,-90.7226,0.005440489,4.01,25
Bruce,Calhoun,714,3.3,33.9909,-89.3455,0.29724479,3.73,727
Calhoun City,Calhoun,634,3.3,33.8593,-89.3146,0.264040975,3.73,646
Vardaman,Calhoun,479,3.3,33.8822,-89.1778,0.199399505,3.73,488
Derma,Calhoun,412,3.3,33.8589,-89.2878,0.171317556,3.73,419
Pittsboro,Calhoun,63,3.3,33.94,-89.3373,0.025962557,3.73,63
Big Creek,Calhoun,58,3.3,33.8464,-89.4159,0.023843165,3.73,58
Slate Springs,Calhoun,44,3.3,33.7417,-89.3752,0.018191452,3.73,44
Vaiden,Carroll,744,3.56,33.3325,-89.7526,0.499012508,4.03,635
North Carrollton,Carroll,405,3.56,33.5186,-89.9194,0.271231073,4.03,345
Carrollton,Carroll,343,3.56,33.5056,-89.9218,0.229756419,4.03,292
Houston,Chickasaw,1512,3.32,33.8962,-89.0035,0.534074908,3.76,1294
Okolona,Chickasaw,997,3.32,34.0051,-88.7477,0.352013517,3.76,853
New Houlka,Chickasaw,279,3.32,34.0363,-89.0211,0.098282174,3.76,238
Woodland,Chickasaw,45,3.32,33.7797,-89.0507,0.0156294,3.76,38
Ackerman,Choctaw,958,3.65,33.3106,-89.1702,0.699146834,4.13,918
Weir,Choctaw,274,3.65,33.2613,-89.2953,0.199820386,4.13,262
French Camp,Choctaw,139,3.65,33.2923,-89.3993,0.10103278,4.13,133
Port Gibson,Claiborne,1750,3.61,31.9558,-90.9834,1,4.08,1371
Quitman,Clarke,1339,3.52,32.0415,-88.7205,0.499623399,3.98,1165
Stonewall,Clarke,593,3.52,32.135,-88.7974,0.221190058,3.98,516
Enterprise,Clarke,336,3.52,32.1725,-88.8158,0.12528245,3.98,292
Shubuta,Clarke,275,3.52,31.862,-88.702,0.10243535,3.98,239
Pachuta,Clarke,138,3.52,32.0441,-88.8844,0.051468742,3.98,120
West Point,Clay,2590,3.65,33.6062,-88.6576,1,4.13,1519
Clarksdale,Coahoma,3920,3.45,34.1975,-90.5731,0.852132208,3.9,2717
Jonestown,Coahoma,254,3.45,34.3222,-90.4543,0.055009823,3.9,175
Friars Point,Coahoma,237,3.45,34.3666,-90.637,0.051311684,3.9,164
Lyon,Coahoma,78,3.45,34.2169,-90.5427,0.016757194,3.9,53
Coahoma,Coahoma,61,3.45,34.3663,-90.522,0.013174622,3.9,42
Lula,Coahoma,54,3.45,34.4545,-90.4779,0.011614469,3.9,37
Crystal Springs,Copiah,1847,3.33,31.9899,-90.3555,0.447205543,3.77,1334
Hazlehurst,Copiah,1376,3.33,31.8639,-90.3928,0.333025404,3.77,993
Wesson,Copiah,701,3.33,31.6999,-90.395,0.16960739,3.77,506
Beauregard,Copiah,110,3.33,31.7178,-90.3887,0.026512702,3.77,79
Georgetown,Copiah,98,3.33,31.8701,-90.1648,0.023648961,3.77,71
Collins,Covington,1967,3.31,31.6483,-89.5676,0.653321729,3.74,1948
Mount Olive,Covington,781,3.31,31.7538,-89.6559,0.259355962,3.74,773
Seminary,Covington,263,3.31,31.5577,-89.4993,0.087322309,3.74,260
Southaven,DeSoto,7717,3.62,34.951,-89.9777,0.391676499,4.1,7825
Olive Branch,DeSoto,5622,3.62,34.9558,-89.8412,0.285344489,4.1,5701
Horn Lake,DeSoto,3768,3.62,34.9521,-90.0492,0.191247453,4.1,3821
Hernando,DeSoto,2405,3.62,34.8496,-89.9924,0.122078015,4.1,2439
Walls,DeSoto,191,3.62,34.9259,-90.1677,0.009653545,4.1,193
Hattiesburg,Forrest,11267,3.43,31.3073,-89.3174,0.805297675,3.88,10238
Petal,Forrest,2724,3.43,31.3482,-89.2351,0.194702325,3.88,2475
Bude,Franklin,677,3.34,31.4624,-90.8523,0.463126844,3.78,758
Roxie,Franklin,407,3.34,31.5046,-91.0675,0.278466077,3.78,456
Meadville,Franklin,378,3.34,31.4721,-90.8929,0.25840708,3.78,423
Lucedale,George,4670,3.28,30.9312,-88.5959,1,3.71,4953
Leakesville,Greene,2104,3.28,31.1542,-88.5583,0.918372569,3.71,1949
McLain,Greene,187,3.28,31.1038,-88.8242,0.081627431,3.71,173
Grenada,Grenada,3520,3.39,33.7814,-89.8115,1,3.84,2749
Bay St. Louis,Hancock,2717,3.66,30.3234,-89.3588,0.361278741,4.14,2935
Diamondhead,Hancock,2748,3.66,30.3821,-89.3502,0.365327324,4.14,2968
Waveland,Hancock,2056,3.66,30.2954,-89.3937,0.273393935,4.14,2221
Gulfport,Harrison,16197,3.62,30.4195,-89.069,0.462507064,4.1,17726
Biloxi,Harrison,10998,3.62,30.4267,-88.9358,0.314040246,4.1,12036
Long Beach,Harrison,3729,3.62,30.3551,-89.1744,0.106474985,4.1,4081
D'Iberville,Harrison,2822,3.62,30.5187,-88.9284,0.080554727,4.1,3087
Pass Christian,Harrison,1276,3.62,30.318,-89.2391,0.036422979,4.1,1396
Jackson,Hinds,24403,3.77,32.3158,-90.2128,0.769307429,4.27,16361
Clinton,Hinds,4456,3.77,32.3544,-90.3419,0.140472116,4.27,2987
Byram,Hinds,2015,3.77,32.1903,-90.286,0.063494061,4.27,1350
Raymond,Hinds,300,3.77,32.2609,-90.4083,0.009442319,4.27,201
Terry,Hinds,210,3.77,32.1061,-90.2926,0.006603584,4.27,140
Edwards,Hinds,159,3.77,32.3326,-90.6056,0.004982887,4.27,106
Utica,Hinds,103,3.77,32.1073,-90.6222,0.003216227,4.27,68
Bolton,Hinds,70,3.77,32.3546,-90.4586,0.00220455,4.27,47
Learned,Hinds,9,3.77,32.1971,-90.548,0.000276827,4.27,6
Durant,Holmes,1182,3.43,33.0819,-89.8573,0.275999502,3.88,960
Tchula,Holmes,884,3.43,33.1832,-90.2228,0.206376884,3.88,718
Lexington,Holmes,853,3.43,33.1171,-90.0496,0.19915307,3.88,693
Goodman,Holmes,648,3.43,32.9682,-89.9127,0.151326442,3.88,527
Pickens,Holmes,491,3.43,32.8913,-89.9688,0.114709179,3.88,399
Cruger,Holmes,143,3.43,33.323,-90.2355,0.033379001,3.88,116
West,Holmes,82,3.43,33.1978,-89.7821,0.019055922,3.88,66
Belzoni,Humphreys,1236,3.43,33.1805,-90.4863,0.65052489,3.88,914
Isola,Humphreys,407,3.43,33.2634,-90.5923,0.214019641,3.88,301
Silver City,Humphreys,143,3.43,33.0937,-90.499,0.075177785,3.88,106
Louise,Humphreys,115,3.43,32.9814,-90.5904,0.060277684,3.88,85
Mayersville,Issaquena,250,3.52,32.8964,-91.0467,1,3.98,211
Fulton,Itawamba,2271,3.26,34.2629,-88.4019,0.713856486,3.69,2496
Mantachie,Itawamba,642,3.26,34.3213,-88.5026,0.201661364,3.69,705
Tremont,Itawamba,269,3.26,34.2337,-88.2489,0.084482149,3.69,295
Pascagoula,Jackson,6860,3.7,30.3601,-88.5563,0.307204901,4.19,6896
Gautier,Jackson,5935,3.7,30.4062,-88.6593,0.265760284,4.19,5966
Ocean Springs,Jackson,5752,3.7,30.4027,-88.7887,0.25754969,4.19,5781
Moss Point,Jackson,3785,3.7,30.4259,-88.5327,0.169485124,4.19,3805
Bay Springs,Jasper,1486,3.38,31.978,-89.2796,0.611302024,3.82,1199
Heidelberg,Jasper,592,3.38,31.8905,-88.9902,0.243604429,3.82,478
Louin,Jasper,257,3.38,32.0752,-89.2732,0.105383734,3.82,207
Montrose,Jasper,97,3.38,32.1257,-89.2344,0.039709813,3.82,78
Fayette,Jefferson,1410,3.35,31.7122,-91.0621,1,3.79,1036
Laurel,Jones,8375,3.38,31.6951,-89.145,0.753769728,3.82,8629
Ellisville,Jones,2224,3.38,31.5973,-89.2103,0.200114301,3.82,2291
Sandersville,Jones,311,3.38,31.784,-89.0398,0.027959731,3.82,320
Soso,Jones,202,3.38,31.7503,-89.2769,0.01815624,3.82,208
De Kalb,Kemper,907,3.19,32.7731,-88.6561,0.574014221,3.61,414
Scooba,Kemper,674,3.19,32.8302,-88.4771,0.425985779,3.61,307
Oxford,Lafayette,7203,4.02,34.3513,-89.537,0.972035584,4.55,6302
Taylor,Lafayette,103,4.02,34.2697,-89.5837,0.013775759,4.55,89
Abbeville,Lafayette,106,4.02,34.5034,-89.5025,0.014188657,4.55,92
Sumrall,Lamar,3192,3.74,31.417,-89.5418,0.335600907,4.23,3273
Purvis,Lamar,3399,3.74,31.1464,-89.4063,0.357331822,4.23,3485
Lumberton,Lamar,2921,3.74,31.0059,-89.459,0.307067271,4.23,2995
Meridian,Lauderdale,12065,3.52,32.3878,-88.6903,0.952188294,3.98,10334
Marion,Lauderdale,606,3.52,32.4275,-88.6502,0.047811706,3.98,519
Monticello,Lawrence,1554,3.34,31.5532,-90.1187,0.709528689,3.78,1464
New Hebron,Lawrence,436,3.34,31.7332,-89.9833,0.198770492,3.78,410
Silver Creek,Lawrence,201,3.34,31.6048,-90.0023,0.09170082,3.78,189
Carthage,Leake,3378,3.14,32.7442,-89.5335,0.900643541,3.55,960
Walnut Grove,Leake,285,3.14,32.5932,-89.4578,0.075812274,3.55,81
Lena,Leake,89,3.14,32.594,-89.5948,0.023544185,3.55,25
Tupelo,Lee,7850,3.5,34.2706,-88.7325,0.707785642,3.96,6582
Saltillo,Lee,1022,3.5,34.3785,-88.6936,0.09212448,3.96,857
Baldwyn,Lee,648,3.5,34.5055,-88.6428,0.058401678,3.96,543
Verona,Lee,582,3.5,34.1897,-88.7205,0.052409842,3.96,487
Guntown,Lee,502,3.5,34.4451,-88.6638,0.045200914,3.96,420
Shannon,Lee,311,3.5,34.1144,-88.6931,0.028011834,3.96,260
Plantersville,Lee,179,3.5,34.2082,-88.6654,0.016065611,3.96,149
Greenwood,Leflore,4398,3.56,33.5125,-90.199,0.857219442,4.03,2769
Itta Bena,Leflore,505,3.56,33.5009,-90.3243,0.098284489,4.03,317
Sidon,Leflore,95,3.56,33.4079,-90.2081,0.018406004,4.03,59
Schlater,Leflore,72,3.56,33.6397,-90.3494,0.013878961,4.03,45
Morgan City,Leflore,63,3.56,33.3787,-90.3462,0.012211103,4.03,39
Brookhaven,Lincoln,5450,3.34,31.5806,-90.4434,1,3.78,4970
Columbus,Lowndes,8248,3.6,33.5082,-88.4071,0.926670841,4.07,6721
Caledonia,Lowndes,399,3.6,33.6836,-88.326,0.044803569,4.07,325
Crawford,Lowndes,147,3.6,33.3023,-88.6253,0.016512756,4.07,120
Artesia,Lowndes,107,3.6,33.4167,-88.6423,0.012012835,4.07,87
Madison,Madison,4865,3.75,32.4739,-90.1309,0.430870463,4.24,4239
Ridgeland,Madison,4244,3.75,32.4198,-90.1485,0.375886525,4.24,3698
Canton,Madison,1891,3.75,32.5984,-90.0322,0.167450378,4.24,1648
Flora,Madison,292,3.75,32.5427,-90.3137,0.025792635,4.24,254
Columbia,Marion,4450,3.4,31.2569,-89.8254,1,3.85,4297
Holly Springs,Marshall,4137,3.38,34.778,-89.4458,0.793952432,3.82,3066
Byhalia,Marshall,810,3.38,34.8692,-89.69,0.155372296,3.82,600
Potts Camp,Marshall,265,3.38,34.6492,-89.3064,0.050675272,3.82,196
Amory,Monroe,2231,3.32,33.9818,-88.4826,0.454282168,3.76,1967
Aberdeen,Monroe,1660,3.32,33.8283,-88.5547,0.33788443,3.76,1463
Nettleton,Monroe,653,3.32,34.0831,-88.6263,0.13294718,3.76,576
Smithville,Monroe,174,3.32,34.068,-88.3982,0.035236519,3.76,153
Hatley,Monroe,169,3.32,33.9773,-88.4184,0.034271135,3.76,148
Gattman,Monroe,27,3.32,33.8848,-88.2366,0.005378568,3.76,23
Winona,Montgomery,1359,3.39,33.4903,-89.7293,0.77621038,3.84,1139
Duck Hill,Montgomery,201,3.39,33.6316,-89.7154,0.114594218,3.84,168
Kilmichael,Montgomery,192,3.39,33.4394,-89.567,0.109195402,3.84,160
Philadelphia,Neshoba,5530,3.19,32.7751,-89.122,1,3.61,6063
Newton,Newton,1598,3.29,32.3301,-89.1475,0.420454545,3.72,1691
Union,Newton,1001,3.29,32.5711,-89.1152,0.263213531,3.72,1059
Decatur,Newton,857,3.29,32.434,-89.1112,0.225290698,3.72,906
Hickory,Newton,208,3.29,32.3167,-89.0217,0.054704017,3.72,220
Chunky,Newton,139,3.29,32.3275,-88.9302,0.036337209,3.72,146
Macon,Noxubee,1243,3.65,33.1221,-88.5567,0.660640496,4.13,824
Brooksville,Noxubee,443,3.65,33.2367,-88.5781,0.23553719,4.13,294
Shuqualak,Noxubee,196,3.65,32.9793,-88.5693,0.103822314,4.13,130
Starkville,Oktibbeha,7710,3.65,33.4588,-88.8327,0.961266367,4.13,5906
Maben,Oktibbeha,245,3.65,33.5542,-89.081,0.030525699,4.13,188
Sturgis,Oktibbeha,66,3.65,33.3452,-89.0458,0.008207934,4.13,50
Batesville,Panola,3505,3.5,34.321,-89.9249,0.637191716,3.96,2837
Sardis,Panola,818,3.5,34.4355,-89.9114,0.148577812,3.96,662
Como,Panola,529,3.5,34.5136,-89.9399,0.096072871,3.96,428
Crenshaw,Panola,300,3.5,34.5047,-90.1946,0.054481396,3.96,243
Courtland,Panola,225,3.5,34.2409,-89.9433,0.040732147,3.96,181
Pope,Panola,127,3.5,34.2158,-89.9448,0.022944058,3.96,102
Richton,Perry,977,3.43,31.3495,-88.9407,0.41730038,3.88,973
Beaumont,Perry,746,3.43,31.1675,-88.9284,0.318441065,3.88,742
New Augusta,Perry,619,3.43,31.2034,-89.0293,0.264258555,3.88,616
McComb,Pike,6137,3.33,31.2445,-90.4716,0.767076503,3.77,5304
Magnolia,Pike,933,3.33,31.1612,-90.4695,0.11661699,3.77,806
Summit,Pike,744,3.33,31.2807,-90.4677,0.092896175,3.77,642
Osyka,Pike,188,3.33,31.0073,-90.4711,0.023410333,3.77,162
Pontotoc,Pontotoc,2877,3.3,34.2509,-89.0083,0.636425648,3.73,3321
Ecru,Pontotoc,469,3.3,34.3543,-89.0231,0.103683492,3.73,541
Algoma,Pontotoc,363,3.3,34.1795,-89.0381,0.080263756,3.73,419
Thaxton,Pontotoc,358,3.3,34.3029,-89.1717,0.079013188,3.73,412
Sherman,Pontotoc,309,3.3,34.3612,-88.8387,0.068212824,3.73,356
Toccopola,Pontotoc,147,3.3,34.2553,-89.2213,0.032401091,3.73,169
Booneville,Prentiss,3729,3.17,34.6644,-88.568,0.932174286,3.59,4159
Jumpertown,Prentiss,186,3.17,34.7061,-88.6675,0.046469199,3.59,207
Marietta,Prentiss,86,3.17,34.5,-88.4726,0.021356514,3.59,95
Marks,Quitman,487,3.45,34.2535,-90.2722,0.37712766,3.9,298
Lambert,Quitman,440,3.45,34.2006,-90.2845,0.340425532,3.9,269
Crowder,Quitman,196,3.45,34.1729,-90.1377,0.151595745,3.9,120
Sledge,Quitman,129,3.45,34.4327,-90.2213,0.099734043,3.9,79
Falcon,Quitman,41,3.45,34.3911,-90.2556,0.031117021,3.9,25
Pearl,Rankin,6318,3.64,32.2725,-90.0918,0.357299569,4.12,5991
Brandon,Rankin,5869,3.64,32.2781,-89.9907,0.331910338,4.12,5565
Flowood,Rankin,2391,3.64,32.3361,-90.0729,0.135206577,4.12,2267
Richland,Rankin,1663,3.64,32.2304,-90.1596,0.094049853,4.12,1577
Florence,Rankin,1068,3.64,32.1556,-90.1225,0.060360551,4.12,1012
Pelahatchie,Rankin,295,3.64,32.3209,-89.808,0.016666226,4.12,279
Puckett,Rankin,80,3.64,32.0868,-89.7817,0.004506886,4.12,76
Forest,Scott,2584,3.16,32.3598,-89.4759,0.550900031,3.58,2555
Morton,Scott,1752,3.16,32.3455,-89.6591,0.373538086,3.58,1732
Lake,Scott,228,3.16,32.3407,-89.3295,0.048510119,3.58,225
Sebastopol,Scott,127,3.16,32.5679,-89.334,0.027051764,3.58,125
Rolling Fork,Sharkey,541,3.43,32.9073,-90.8769,0.71100739,3.88,341
Anguilla,Sharkey,149,3.43,32.9719,-90.8283,0.194865811,3.88,93
Cary,Sharkey,72,3.43,32.8056,-90.9246,0.094126799,3.88,45
Magee,Simpson,2377,3.31,31.873,-89.734,0.586907787,3.74,2144
Mendenhall,Simpson,1334,3.31,31.9607,-89.8695,0.329248244,3.74,1203
D'Lo,Simpson,228,3.31,31.987,-89.9011,0.056194889,3.74,205
Braxton,Simpson,112,3.31,32.0264,-89.9715,0.027649081,3.74,101
Taylorsville,Smith,755,3.31,31.8322,-89.434,0.36124326,3.74,803
Raleigh,Smith,674,3.31,32.0347,-89.5257,0.322232794,3.74,716
Polkville,Smith,394,3.31,32.1909,-89.696,0.188074849,3.74,418
Mize,Smith,212,3.31,31.8673,-89.5541,0.101173486,3.74,225
Sylvarena,Smith,58,3.31,32.0144,-89.3818,0.027275611,3.74,61
Wiggins,Stone,3260,3.62,30.856,-89.139,1,4.1,3417
Indianola,Sunflower,2721,3.52,33.449,-90.6438,0.535567677,3.98,1842
Ruleville,Sunflower,749,3.52,33.7249,-90.5503,0.147275488,3.98,507
Moorhead,Sunflower,555,3.52,33.4494,-90.5063,0.109149187,3.98,375
Drew,Sunflower,520,3.52,33.8101,-90.5304,0.102288703,3.98,352
Sunflower,Sunflower,273,3.52,33.5443,-90.5373,0.053702975,3.98,185
Inverness,Sunflower,245,3.52,33.3542,-90.5912,0.048192094,3.98,166
Doddsville,Sunflower,20,3.52,33.6599,-90.5214,0.003823877,3.98,13
Tutwiler,Tallahatchie,1145,3.39,34.0172,-90.4333,0.52758745,3.84,920
Charleston,Tallahatchie,712,3.39,34.0077,-90.0552,0.327984133,3.84,572
Webb,Tallahatchie,153,3.39,33.9477,-90.3463,0.070320952,3.84,123
Sumner,Tallahatchie,106,3.39,33.9693,-90.3693,0.048503426,3.84,85
Glendora,Tallahatchie,56,3.39,33.8276,-90.2927,0.025604039,3.84,45
Senatobia,Tate,3401,3.28,34.6087,-89.981,0.852269138,3.71,3078
Coldwater,Tate,590,3.28,34.6904,-89.9755,0.147730862,3.71,534
Ripley,Tippah,2766,3.24,34.7324,-88.9435,0.687890775,3.67,2695
Blue Mountain,Tippah,421,3.24,34.6739,-89.0262,0.104631874,3.67,410
Walnut,Tippah,366,3.24,34.9497,-88.9245,0.090978691,3.67,356
Dumas,Tippah,242,3.24,34.638,-88.8431,0.060099528,3.67,235
Falkner,Tippah,227,3.24,34.8393,-88.9484,0.056399132,3.67,221
Iuka,Tishomingo,1768,3.17,34.8074,-88.1969,0.476418741,3.59,1841
Belmont,Tishomingo,1072,3.17,34.505,-88.2083,0.288696459,3.59,1116
Burnsville,Tishomingo,496,3.17,34.832,-88.3187,0.133601361,3.59,516
Tishomingo,Tishomingo,214,3.17,34.6383,-88.2291,0.057677439,3.59,223
Golden,Tishomingo,102,3.17,34.4866,-88.1863,0.027369723,3.59,106
Paden,Tishomingo,61,3.17,34.6603,-88.2605,0.016236276,3.59,63
Tunica,Tunica,1830,3.28,34.6881,-90.3809,1,3.71,1201
New Albany,Union,3543,3.28,34.4923,-89.0217,0.892323968,3.71,3464
Myrtle,Union,226,3.28,34.5605,-89.1179,0.056776772,3.71,220
Blue Springs,Union,203,3.28,34.4014,-88.8721,0.050899259,3.71,198
Tylertown,Walthall,2560,3.4,31.1172,-90.1449,1,3.85,2238
Vicksburg,Warren,6830,3.61,32.322,-90.8816,1,4.08,5448
Greenville,Washington,7492,3.52,33.3835,-91.0523,0.798616574,3.98,5449
Leland,Washington,1013,3.52,33.4048,-90.8909,0.107961481,3.98,737
Hollandale,Washington,593,3.52,33.1761,-90.8529,0.063149329,3.98,431
Metcalfe,Washington,208,3.52,33.4506,-91.0018,0.02210769,3.98,151
Arcola,Washington,77,3.52,33.2705,-90.88,0.008164926,3.98,56
Waynesboro,Wayne,2764,3.38,31.6776,-88.6338,0.909127222,3.82,2289
State Line,Wayne,277,3.38,31.4361,-88.4735,0.090872778,3.82,229
Eupora,Webster,1040,3.65,33.5451,-89.2741,0.618668366,4.13,968
Mathiston,Webster,452,3.65,33.5386,-89.1291,0.268875438,4.13,421
Mantee,Webster,128,3.65,33.7209,-89.0587,0.075820325,4.13,119
Walthall,Webster,62,3.65,33.6067,-89.2791,0.036635871,4.13,57
Centreville,Wilkinson,860,3.35,31.087,-91.0654,0.577137546,3.79,337
Woodville,Wilkinson,631,3.35,31.1029,-91.2993,0.422862454,3.79,247
Louisville,Winston,2989,3.19,33.1229,-89.0549,0.939760907,3.61,2436
Noxapater,Winston,192,3.19,32.9936,-89.0635,0.060239093,3.61,156
Water Valley,Yalobusha,1493,3.39,34.162,-89.6301,0.721204188,3.84,1228
Coffeeville,Yalobusha,366,3.39,33.9765,-89.6845,0.176483421,3.84,301
Oakland,Yalobusha,212,3.39,34.0558,-89.9151,0.102312391,3.84,174
Yazoo City,Yazoo,5079,3.43,32.8622,-90.408,0.954537037,3.88,4714
Bentonia,Yazoo,158,3.43,32.6436,-90.3692,0.02962963,3.88,146
Eden,Yazoo,66,3.43,32.9837,-90.324,0.012222222,3.88,60
Satartia,Yazoo,20,3.43,32.672,-90.5445,0.003611111,3.88,18
