,Adams County,Alcorn County,Amite County,Attala County,Benton County,Bolivar County,Calhoun County,Carroll County,Chickasaw County,Choctaw County,Claiborne County,Clarke County,Clay County,Coahoma County,Copiah County,Covington County,DeSoto County,Forrest County,Franklin County,George County,Greene County,Grenada County,Hancock County,Harrison County,Hinds County,Holmes County,Humphreys County,Issaquena County,Itawamba County,Jackson County,Jasper County,Jefferson County,Jefferson Davis County,Jones County,Kemper County,Lafayette County,Lamar County,Lauderdale County,Lawrence County,Leake County,Lee County,Leflore County,Lincoln County,Lowndes County,Madison County,Marion County,Marshall County,Monroe County,Montgomery County,Neshoba County,Newton County,Noxubee County,Oktibbeha County,Panola County,Pearl River County,Perry County,Pike County,Pontotoc County,Prentiss County,Quitman County,Rankin County,Scott County,Sharkey County,Simpson County,Smith County,Stone County,Sunflower County,Tallahatchie County,Tate County,Tippah County,Tishomingo County,Tunica County,Union County,Walthall County,Warren County,Washington County,Wayne County,Webster County,Wilkinson County,Winston County,Yalobusha County,Yazoo County
Stewpot,7.191544281,388.7209409,60.97985921,210.3459735,349.8934699,183.732365,281.9961357,215.3125319,303.2650052,247.2920791,56.85209291,191.9234099,295.0081798,229.3880733,76.91119229,113.6164074,308.2119116,151.5733308,34.49530822,210.957662,186.4239592,243.9535339,194.4495872,216.3466781,104.408656,183.26418,158.4188386,105.007032,360.986972,240.4309667,165.2184419,33.04201474,93.36141683,135.5230694,242.6322389,301.8962865,135.5166589,217.8694178,76.09995526,191.1566756,343.3957658,200.2647363,56.866197,302.2651698,153.3955428,115.2054387,328.2891013,328.2060639,235.9511376,214.8213663,190.9293188,270.6324687,273.8604143,275.7665248,161.3306726,168.4846159,84.65434671,318.634547,374.5615346,248.7431215,133.3310525,166.8593258,124.7374204,111.0194456,142.3561616,187.9164914,187.213009,234.8793213,295.5560456,362.4996658,398.7161095,271.0726548,338.3941675,104.1533783,86.65940915,144.6702518,164.6301828,263.1287398,31.89694519,242.2318268,266.8938593,142.1853673
Rose Hill Baptist Church,8.084931022,388.6750486,61.87465569,210.3089334,349.8479128,183.6918925,281.9549598,215.2737485,303.2238974,247.2537742,56.82033152,191.8913002,294.9683658,229.3454675,76.8799138,113.5862104,308.1660774,152.4680427,35.3887205,211.8538404,187.3185421,243.9131828,195.3478838,217.2448685,104.3755208,183.2269686,158.3816068,104.9716559,360.9440753,241.3289383,165.1864459,33.01136578,93.33151705,135.4929144,242.5967649,301.8530369,136.411297,217.8356044,76.99302519,191.121226,343.3528292,200.2254622,57.75935247,302.226236,153.3606657,116.0999687,328.2438272,328.1650839,235.9121281,214.7859088,190.8955351,270.5952915,273.8217248,275.7232475,162.227293,169.3793992,85.54913807,318.591939,374.5169578,248.7004067,133.2979239,166.8255214,124.701384,110.987957,142.3241798,188.8130077,187.1734855,234.8380902,295.5113401,362.4543475,398.6709121,271.027953,338.350242,105.0482872,86.62585106,144.6322751,164.5999333,263.0891453,32.79180386,242.1947651,266.8522389,142.1498019
Pilgrim Baptist Church,6.921817995,386.9343637,60.70671229,208.5379185,348.1060797,181.9326384,280.1981152,213.5087068,301.4668191,245.4870928,55.03123015,190.1033917,293.2068547,227.5935225,75.08915773,111.7917487,306.4251939,151.3003886,34.22551985,210.6811615,186.1513298,242.1535123,194.1679476,216.0652962,102.5911264,181.4565405,156.6112488,103.1949396,359.1931264,240.1501153,163.3981479,31.2184529,91.53603692,133.6983085,240.8203834,300.1032975,135.2438957,216.0535331,75.83099731,189.3447613,341.6020169,198.4621017,56.59703161,300.4617089,151.5822396,114.9329382,326.5010245,326.4075677,234.1478608,213.0094711,189.1133622,268.824746,272.0563606,273.9736033,161.0531001,168.2115004,84.38121211,316.8400012,372.7717655,246.948835,131.5135068,165.0434198,122.9269303,109.1979206,140.5358332,187.639171,185.4109796,233.0814351,293.7665893,360.7116961,396.9278461,269.2831896,336.6028184,103.8799583,84.84290579,142.8644695,162.8056513,261.3268825,31.62364751,240.4238239,265.0969174,140.373734
First Assembly of God,6.507007988,388.4969681,60.29381165,210.1125114,349.6691379,183.5025825,281.767107,215.0809386,303.0359034,247.0599728,56.61297206,191.6846623,294.7776911,229.1605775,76.67155374,113.3756095,307.9878767,150.8873738,33.81074452,210.2701328,185.7381404,243.7236211,193.7597875,215.6569923,104.1710078,183.0309014,158.185582,104.771786,360.7597879,239.7415152,164.9795724,32.80170138,93.12030028,135.2822264,242.3970977,301.6694808,134.8307809,217.6324964,75.41575849,190.9215084,343.1686244,200.033669,56.18190856,302.0337375,153.1597619,114.5196768,328.0644659,327.9768251,235.7197866,214.5862076,190.6923656,270.3991535,273.6287201,275.5397489,160.6426698,167.7985823,83.96830461,318.4070535,374.3361515,248.5157425,133.0933972,166.622395,124.5028824,110.7800322,142.1172769,187.2286,186.982209,234.6503519,295.3308007,362.2750778,398.4913918,270.847406,338.1680864,103.4672101,86.42221436,144.4377938,164.3894412,262.898016,31.210831,241.9983877,266.6653071,141.9503242
61 South Church of Christ,0.939429785,392.5975563,54.64969472,214.1970046,353.7691169,187.593317,285.8591199,219.1686017,307.1277922,251.1467657,60.68786748,195.7601904,298.8672275,233.2551907,80.74557098,117.4476602,312.0883598,145.2434101,28.16914445,204.6235026,180.0944111,247.8141345,188.1093061,210.0067039,108.248401,187.1157061,162.2704239,108.8532539,364.8549294,234.0916245,169.0548939,36.87457416,97.19181051,139.3542004,246.4787428,305.7652643,129.1869515,221.7111221,79.11851566,195.0031095,347.2638383,204.1222243,57.42745252,306.1216733,157.2403222,108.8760442,332.1639305,332.0684815,239.8078606,218.6678229,194.7709375,274.4838956,277.7162118,279.635583,154.9952363,162.1544888,78.32419687,322.5016703,378.4343479,252.6105537,137.1707783,170.7010048,128.5855509,114.8544312,146.1925727,181.5813554,191.0712179,238.7424655,299.4292315,366.3746225,402.5907164,274.9458302,342.2650987,97.82288853,90.50037664,148.5239902,168.461587,266.9871537,25.56660114,246.0829199,270.7581284,146.032136
Catholic Charities,5.734074977,388.822736,59.52013478,210.4336088,349.994729,183.825491,282.0903865,215.4029559,303.3591469,247.3817375,56.93128428,192.0031581,295.100252,229.4846116,76.98961113,113.6930963,308.3136141,150.1137414,33.03779801,209.4957267,184.9645761,244.0464655,192.9842638,214.8815246,104.4900448,183.3520892,158.5067805,105.0920055,361.0839753,238.966163,165.2980083,33.11942665,93.43763019,135.5996909,242.7173686,301.9938544,134.0571875,217.9518912,75.36445544,191.2417665,343.4928328,200.3559451,55.40909752,302.3558339,153.479718,113.7461405,328.3899078,328.3000011,236.041923,214.9064698,191.0117448,270.7203231,273.9506876,275.8641373,159.8680306,167.0249123,83.19463042,318.7310886,374.6612254,248.839834,133.4124308,166.9417851,124.8234503,111.0982004,142.4357053,186.4540156,187.3046168,234.9736606,295.6559426,362.6005429,398.8167931,271.1725459,338.4928166,102.6934739,86.74147457,144.7593854,164.7069555,263.2204611,30.43712135,242.3194964,266.9888212,142.2706435
King’s Kabinet Food Pantry,6.507007988,388.4969681,60.29381165,210.1125114,349.6691379,183.5025825,281.767107,215.0809386,303.0359034,247.0599728,56.61297206,191.6846623,294.7776911,229.1605775,76.67155374,113.3756095,307.9878767,150.8873738,33.81074452,210.2701328,185.7381404,243.7236211,193.7597875,215.6569923,104.1710078,183.0309014,158.185582,104.771786,360.7597879,239.7415152,164.9795724,32.80170138,93.12030028,135.2822264,242.3970977,301.6694808,134.8307809,217.6324964,75.41575849,190.9215084,343.1686244,200.033669,56.18190856,302.0337375,153.1597619,114.5196768,328.0644659,327.9768251,235.7197866,214.5862076,190.6923656,270.3991535,273.6287201,275.5397489,160.6426698,167.7985823,83.96830461,318.4070535,374.3361515,248.5157425,133.0933972,166.622395,124.5028824,110.7800322,142.1172769,187.2286,186.982209,234.6503519,295.3308007,362.2750778,398.4913918,270.847406,338.1680864,103.4672101,86.42221436,144.4377938,164.3894412,262.898016,31.210831,241.9983877,266.6653071,141.9503242
AMEN Food Pantry,405.1280554,7.109854195,394.4089276,188.9449912,46.06501008,214.2074314,115.6768869,183.2939953,94.4368848,151.5054863,344.4988707,209.3026507,103.2011573,167.7179248,324.6312562,288.3540616,87.63340728,301.7958771,378.6354477,287.9420671,263.4042084,154.0398292,369.8677088,344.8627952,296.4067714,215.9569672,240.7919711,294.9279899,54.76425773,314.2422021,236.0499131,368.7439436,308.7240793,266.46583,157.2769914,94.96396641,315.4575057,182.6898201,326.8321226,208.7573682,53.59164974,198.1475704,348.5546779,105.7432201,246.7399553,332.3098714,67.77836149,74.68428421,162.5685493,185.0917531,209.6391394,128.6103066,124.7886511,121.0802105,350.6743294,287.2348938,370.6639737,78.47945509,22.35999439,148.321983,267.4895442,233.6987948,274.9399307,290.443467,258.9157518,321.1235463,211.1000563,162.7673759,100.7315094,33.5539374,29.91642864,125.2138645,58.2041874,354.8617952,313.9882648,254.2465601,237.3240935,135.1637058,425.3502331,157.0536633,130.6030384,257.6786949
Helping Hands Ministries,212.766696,182.8787123,201.8411439,2.325432329,143.9700835,125.3604589,74.99383849,46.15557431,96.24505301,39.58238343,152.4660895,122.7386934,87.66917448,138.8602002,132.5269014,100.2100728,148.209423,148.2915131,186.2689911,207.3134125,183.1726908,61.43403568,190.2851737,212.2076885,104.5720453,33.79385516,59.34757909,103.420465,154.4063657,236.3449831,99.07323644,176.5499753,116.4175822,123.573161,75.99429996,95.40514935,132.253505,99.09567422,134.5129734,24.65807201,136.8256896,75.14077601,156.2241661,94.70861016,55.15689363,139.7778436,122.2967233,121.1536032,31.7440425,48.32666516,72.70434233,62.6435226,66.24462033,110.7798422,157.8380697,165.184685,178.0957323,111.9843547,168.3951288,122.4288917,75.65229623,47.79667975,83.52775404,98.36797637,76.4087805,184.189917,95.26892584,95.17450868,130.1200825,156.516809,192.7019315,154.6516514,132.0684454,162.2755861,122.2162546,94.29299804,150.1929971,55.73679667,232.7749369,34.21541972,73.78095006,66.1967508
Church of God In Christ,180.9943798,212.0114384,169.8405255,104.6979497,173.1556149,19.59323141,104.8854919,59.88587944,126.148457,105.7759717,121.0593071,229.8584858,117.7814941,52.3994497,138.5006783,207.636701,131.4978591,256.0463489,154.4917548,315.3057442,290.907806,66.77282628,298.6176138,320.5236557,111.3834529,72.50076184,46.94292967,72.59673903,184.0224977,344.6264526,206.2105864,144.9640227,196.1170923,231.0072561,182.5717845,124.9621486,239.996013,205.9408495,180.7129045,131.2378361,166.4347671,30.82082909,161.4719507,143.4900098,109.8019217,219.6940758,151.5272502,151.0785191,74.26154424,154.9059117,179.553466,161.7128852,121.6746402,98.83487405,265.6413683,272.9514946,189.1208761,141.6456903,197.7400715,71.7636861,140.6603846,154.6416852,52.81019602,166.5724357,183.5477222,292.2359264,10.65191163,57.77360224,118.7459274,185.7414113,221.947381,94.26234054,161.5174185,208.6098322,91.09910542,32.71221381,257.6126824,85.88351734,200.7651679,136.2826154,89.82114042,78.5833938
